"group","file","status","detail"
"internacionales","01_Gazzarata_2024_10.1016-j.ijmedinf.2024.105507.pdf","failed","Invalid PDF from https://www.sciencedirect.com/science/article/pii/S1386505624001709"
"internacionales","02_PedreraJimenez_2023_10.2196-48702.pdf","downloaded","OK from https://www.jmir.org/2023/1/e48702/PDF (297.3 KB)"
"internacionales","03_Chatterjee_2022_10.3390-s22103756.pdf","failed","Invalid PDF from https://www.mdpi.com/1424-8220/22/10/3756/pdf?version=1653025877"
"internacionales","04_GaudetBlavignac_2021_10.2196-27591.pdf","downloaded","OK from https://medinform.jmir.org/2021/6/e27591/PDF (318.6 KB)"
"internacionales","05_MukhiyaLamo_2021_10.1177-14604582211043920.pdf","downloaded","OK from https://journals.sagepub.com/doi/pdf/10.1177/14604582211043920 (608.1 KB)"
"internacionales","06_Fernandez_2025_10.3389-fdgth.2025.1622302.pdf","downloaded","OK from https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2025.1622302/pdf (97.8 KB)"
"nacionales","08_AriasGeronimo_2025_hdl_20.500.14005-16817.pdf","downloaded","OK from https://repositorio.usil.edu.pe/server/api/core/bitstreams/f7340267-0ba2-4413-b5f9-93e6b3fd3914/content (985.4 KB)"
"nacionales","10_FernandezInfanzon_Huarac_2021_hdl_20.500.12640-2139.pdf","downloaded","OK from https://repositorio.esan.edu.pe/server/api/core/bitstreams/f639f09f-537c-4889-ab60-3721b9b47d78/content (4439.1 KB)"
"nacionales","11_Bran_2024_10.3991-ijoe.v20i15.51515.pdf","downloaded","OK from https://online-journals.org/index.php/i-joe/article/download/51515/15631 (2233.5 KB)"
"nacionales","12_MoralesCamargo_2023_10.56294-sctconf2023455.pdf","failed","Invalid PDF from https://conferencias.saludcyt.ar/index.php/sctconf/article/download/455/398"
